state,month,total_trx,total_amount,n_users
AG,2022-07,60416,41668514.73,3772
BC,2022-07,259247,169842229.5,15213
BS,2022-07,44582,28564007.2,2268
CH,2022-07,152240,98728622.78,8817
CL,2022-07,43707,32106447.09,2847
CM,2022-07,30296,18723575.44,1890
CO,2022-07,179569,109229397.6,9643
CS,2022-07,143156,115410106.5,10873
DF,2022-07,258986,171016591.5,16027
DG,2022-07,81563,59004160.31,5432
EM,2022-07,408815,281864686.5,26742
GR,2022-07,99577,75393417.75,7656
GT,2022-07,138546,105344260.6,9398
HG,2022-07,80005,60259756.91,5542
JA,2022-07,259666,190018592.6,16791
MI,2022-07,78490,64155053.88,6194
MO,2022-07,58834,42205757.64,4030
NL,2022-07,504880,296429554.6,24522
OA,2022-07,50029,39306245.13,3694
PU,2022-07,232868,171674298.3,16317
QR,2022-07,108686,80022191.45,6319
QT,2022-07,86349,59496928.22,4961
SI,2022-07,105921,75735879.15,7377
SL,2022-07,100241,71072833.36,6441
SO,2022-07,173504,101920708.2,9531
TB,2022-07,89533,59127828.14,5602
TL,2022-07,42448,33352720.29,3606
TM,2022-07,239927,150035690,13655
VE,2022-07,297357,201824979.6,19533
YU,2022-07,133740,87887514.24,7751
ZA,2022-07,35413,28064339.9,2638
AG,2022-08,69976,47895964.11,4202
BC,2022-08,306685,196558876.4,17183
BS,2022-08,49665,32113857.48,2509
CH,2022-08,175663,111689950.7,10007
CL,2022-08,50970,37355901.22,3194
CM,2022-08,35472,22031705.15,2156
CO,2022-08,208219,126726147.6,11058
CS,2022-08,160775,128289320,12121
DF,2022-08,315009,206615165.7,19118
DG,2022-08,97346,68694432.5,6216
EM,2022-08,498087,343220924.2,31609
GR,2022-08,114390,85436889.47,8512
GT,2022-08,161193,122670753.4,10603
HG,2022-08,93648,69450779.85,6291
JA,2022-08,307958,225711599.6,19594
MI,2022-08,91813,75246480.05,7083
MO,2022-08,70524,50086912.77,4734
NL,2022-08,583451,340329687.1,27802
OA,2022-08,59486,45970992.74,4407
PU,2022-08,270236,200031539.2,18503
QR,2022-08,123778,90724551.62,7030
QT,2022-08,101756,68845519.19,5639
SI,2022-08,122659,87856997.48,8367
SL,2022-08,116850,82423364.94,7408
SO,2022-08,205625,116851876.3,10918
TB,2022-08,102077,67099948.25,6187
TL,2022-08,48894,38652676.62,4054
TM,2022-08,277207,173414266.7,15297
VE,2022-08,351578,236822506.1,22474
YU,2022-08,151290,98919961.21,8578
ZA,2022-08,41165,31704177.22,2946
AG,2022-09,78737,53945668.23,4789
BC,2022-09,341781,217007617.1,19784
BS,2022-09,52606,32998038.59,2819
CH,2022-09,204551,127201186.3,12014
CL,2022-09,55287,39954917.85,3681
CM,2022-09,40995,24847391.69,2455
CO,2022-09,235130,141026579.2,12432
CS,2022-09,180201,140025252.6,13645
DF,2022-09,367754,238338415.3,22439
DG,2022-09,111965,76141203.16,7119
EM,2022-09,578553,391199089.2,36694
GR,2022-09,127846,92998236.33,9664
GT,2022-09,185572,137383424.3,12119
HG,2022-09,107295,78502303.97,7204
JA,2022-09,351144,252740186.8,23062
MI,2022-09,104954,84104057.33,8079
MO,2022-09,82053,57465672.94,5547
NL,2022-09,661536,378507600.2,31544
OA,2022-09,70162,51982319.16,5307
PU,2022-09,302401,217833684.1,20877
QR,2022-09,138361,99622251.42,7996
QT,2022-09,116388,77233380,6402
SI,2022-09,141617,98544225.42,9609
SL,2022-09,133482,91980668.66,8615
SO,2022-09,238246,132745809.7,12690
TB,2022-09,113211,72866031.84,6948
TL,2022-09,56311,43743351.38,4618
TM,2022-09,309635,187715990,17438
VE,2022-09,394969,261797647.2,25777
YU,2022-09,172998,111027851.7,9834
ZA,2022-09,45705,34578856.19,3346
AG,2022-10,89493,60613591.98,5284
BC,2022-10,395037,251446387.8,22815
BS,2022-10,62362,39047386,3116
CH,2022-10,239868,147683321.7,13628
CL,2022-10,65229,46869472.4,4066
CM,2022-10,48395,29042520.02,2790
CO,2022-10,270260,159797330.7,13604
CS,2022-10,208151,164767386.9,14972
DF,2022-10,434693,283266178.1,25240
DG,2022-10,129113,87946504.24,7974
EM,2022-10,684160,463846727.2,41167
GR,2022-10,147439,106997463.8,10739
GT,2022-10,213521,158574820.4,13589
HG,2022-10,122398,90691180.54,7876
JA,2022-10,408081,295475033,26034
MI,2022-10,121110,96997825.95,9088
MO,2022-10,96450,67260337.2,6235
NL,2022-10,760296,434539559.4,34672
OA,2022-10,85622,64938140.96,6075
PU,2022-10,350103,254250821.1,23207
QR,2022-10,158016,111793114.6,8786
QT,2022-10,134196,89237775.66,7104
SI,2022-10,164244,115398310.8,10867
SL,2022-10,153631,105420418,9568
SO,2022-10,280343,157586689.1,14424
TB,2022-10,131101,83584044.18,7727
TL,2022-10,64788,50779839.22,5095
TM,2022-10,351573,216158497.8,19393
VE,2022-10,453505,299849047.7,28235
YU,2022-10,199267,128592299.4,10868
ZA,2022-10,52054,40075745.99,3728
AG,2022-11,96022,66324823.32,8924
BC,2022-11,430300,275149920.5,38611
BS,2022-11,67293,42821846.88,5397
CH,2022-11,261124,165029637.4,23233
CL,2022-11,70629,50680529.53,6874
CM,2022-11,51590,31745605.59,4674
